DateTagged,Rel_group,TagID_Hex,Time_in_ana,Time_out_anac,DrugTime,Weight,Length,CF,Scales,Fins,Eyes,Time_out_surgery,SurgTime,Time_recovered,Surgeon,AK,HT_Temp,HT_DO,SB_Temp,Bleeding,Notes
12-Jul-23,12T,04D8,10:36:59,10:39:12,133,5.42,87,0.82,g,g,g,10:41:08,116,10:42:10,JH,AK,12.4,10.8,12,0,Did not get into water quickly. Low MS-222 dose
12-Jul-23,12C,JH01,10:43:15,10:45:32,137,2.75,70,0.8,g,g,g,10:47:39,127,10:48:06,JH,AK,12.4,10.8,12,0,"Jumped onto lap, mark on operculum. Low MS-222 concentration"
12-Jul-23,12T,058F,11:00:06,11:02:25,139,3.44,78,0.72,g,g,g,11:04:06,101,11:08:17,JH,AK,12.4,10.8,12,0,
12-Jul-23,12C,JH02,11:09:18,11:11:55,157,2.38,76,0.54,g,g,g,11:13:45,110,11:20:28,JH,AK,12.4,10.8,12,0,
12-Jul-23,12T,07BC,11:24:13,11:26:15,122,2,69,0.61,g,g,g,11:28:13,118,11:31:42,JH,AK,12.4,10.8,12,0,
12-Jul-23,12C,JH03,11:28:18,11:30:15,117,4.89,89,0.69,g,g,g,11:31:39,84,11:33:43,JH,AK,12.4,10.8,12,0,jumped on table
12-Jul-23,12T,127,11:35:31,11:37:35,124,6.65,91,0.88,g,g,g,11:39:35,120,11:41:02,JH,AK,12.4,10.8,12,0,
12-Jul-23,12C,JH04,11:44:23,11:47:14,171,3.75,79,0.76,g,g,g,11:49:11,117,11:52:21,JH,AK,12.4,10.8,12,0,
12-Jul-23,12T,03B5,11:52:24,11:55:08,164,2.43,69,0.74,g,g,g,11:56:38,90,11:59:56,JH,AK,12.4,10.8,12,2,
12-Jul-23,16T,07A0,12:43:41,12:45:46,125,5.4,86,0.85,g,f,g,12:47:02,76,12:48:11,JH,AK,16.5,10.2,16.6,0,
12-Jul-23,16C,JH06,12:47:54,12:50:15,141,5.15,87,0.78,g,g,g,12:51:37,82,12:53:32,JH,AK,16.5,10.2,16.6,0,
12-Jul-23,16T,257,12:51:00,12:53:04,124,3.47,79,0.7,g,g,g,12:54:23,79,12:55:38,JH,AK,16.5,10.2,16.6,0,
12-Jul-23,16C,JH07,12:53:39,12:55:21,102,3.07,74,0.76,g,g,g,12:56:44,83,12:58:40,JH,AK,16.5,10.2,16.6,0,
12-Jul-23,16T,017D,12:59:16,13:00:59,103,4.14,83,0.72,g,g,g,13:02:51,112,13:03:24,JH,AK,16.5,10.2,16.6,0,Tag difficult to insert
12-Jul-23,16C,JH08,13:02:31,13:04:14,103,3.43,78,0.72,g,g,g,13:05:41,87,13:08:30,JH,AK,16.5,10.2,16.6,0,small protrusion on mouth
12-Jul-23,16T,495,13:05:48,13:07:33,105,3.15,74,0.78,g,g,g,13:08:43,70,13:10:01,JH,AK,16.5,10.2,16.6,0,
12-Jul-23,16C,JH09,13:11:06,13:13:13,127,3.14,75,0.74,g,g,g,13:14:24,71,13:18:21,JH,AK,16.5,10.2,16.6,0,
12-Jul-23,16T,03DD,13:14:20,13:16:01,101,6.13,91,0.81,g,g,g,13:17:10,69,13:18:52,JH,AK,16.5,10.2,16.6,1,
12-Jul-23,16C,JH10,13:17:03,13:18:56,113,1.83,68,0.58,g,g,g,13:20:10,74,13:22:36,JH,AK,16.5,10.2,16.6,0,
12-Jul-23,16T,020A,13:20:13,13:22:01,108,4.12,83,0.72,g,g,g,13:23:10,69,13:25:15,JH,ak,16.5,10.2,16.6,0,
12-Jul-23,16C,JH11,13:22:51,13:25:25,154,2.97,80,0.58,g,g,g,13:26:44,79,13:28:42,JH,AK,16.5,10.2,16.6,0,"protusion of lower lip, maybe bacterial growth"
12-Jul-23,16T,01F6,13:27:15,13:29:32,137,5.62,85,0.92,g,g,g,13:31:13,101,13:31:54,JH,AK,16.5,10.2,16.6,0,"mouth funky, gravid, mouths came out of the incision"
12-Jul-23,16C,JH12,13:30:53,13:32:34,101,2.67,70,0.78,g,g,g,13:34:02,88,13:34:58,JH,AK,16.5,10.2,16.6,0,
12-Jul-23,16T,159,13:44:01,13:45:56,115,3.25,78,0.68,g,g,g,13:47:28,92,13:50:01,JH,AK,16.5,10.2,16.6,1,"WaterKO bath temp at 11.1, earlier fish was rejected"
12-Jul-23,16C,JH13,13:47:37,13:49:07,90,1.95,66,0.68,g,g,g,13:50:34,87,13:53:45,JH,AK,16.5,10.2,16.6,0,
12-Jul-23,16T,37,13:50:56,13:52:22,86,2.33,70,0.68,g,g,g,13:54:17,115,13:54:42,JH,AK,12.4,10.8,12,1,small cut on right side. Fish knicked above incision point
12-Jul-23,12C,JH14,14:23:20,14:25:33,133,3.73,80,0.73,g,g,g,14:27:04,91,14:27:20,JH,AK,12.4,10.8,12,0,
12-Jul-23,12T,355,14:26:24,14:28:34,130,2.53,70,0.74,g,g,g,14:30:07,93,14:39:07,JH,AK,12.4,10.8,12,1,
12-Jul-23,12C,JH15,14:30:26,14:32:12,106,2.96,78,0.62,g,g,g,14:33:38,86,14:33:55,JH,AK,12.4,10.8,12,0,
12-Jul-23,12T,03BC,14:32:46,14:35:06,140,2.83,74,0.7,g,g,g,14:36:51,105,14:40:38,JH,AK,12.4,10.8,12,0,
12-Jul-23,12C,JH16,14:35:55,14:38:01,126,2.65,69,0.81,g,g,g,14:39:42,101,14:40:05,JH,AK,12.4,10.8,12,0,
12-Jul-23,12T,076F,14:40:31,14:43:28,177,2.79,70,0.81,g,g,g,14:45:01,93,14:47:14,JH,AK,12.4,10.8,12,0,
12-Jul-23,12C,JH17,14:43:41,14:46:30,169,5.72,93,0.71,g,g,g,14:47:54,84,14:51:11,JH,AK,12.4,10.8,12,0,
12-Jul-23,12T,04D2,14:47:32,14:49:45,133,3.15,78,0.66,g,g,g,14:51:57,132,14:54:57,JH,AK,12.4,10.8,12,0,
12-Jul-23,12C,JH18,14:51:53,14:54:12,139,1.94,70,0.57,g,g,g,14:56:17,125,14:58:43,JH,AK,12.4,10.8,12,0,
12-Jul-23,12T,27,14:54:46,14:57:20,154,2.95,75,0.7,G,g,g,14:58:26,66,15:00:20,JH,AK,12.4,10.8,12,0,
12-Jul-23,12C,JH19,14:57:58,15:00:15,137,4.7,85,0.77,G,G,G,15:01:23,68,15:03:16,JH,AK,12.4,10.8,12,0,
12-Jul-23,12T,033F,15:04:11,15:07:03,172,2.41,70,0.7,g,g,g,15:08:19,76,15:11:13,JH,AK,12.4,10.8,12,1,
12-Jul-23,12C,JH20,15:07:26,15:10:01,155,5.72,86,0.9,g,g,g,15:11:24,83,15:14:01,JH,AK,12.4,10.8,12,0,"Short operculum, gravid"
12-Jul-23,12T,52,15:10:37,15:13:33,176,3.04,78,0.64,g,g,g,15:15:06,93,15:19:44,JH,AK,12.4,10.8,12,0,
12-Jul-23,12C,JH21,15:17:03,15:18:56,113,3.12,75,0.74,g,g,g,15:20:33,97,15:22:17,JH,AK,12.4,10.8,12,0,
12-Jul-23,16T,00AB,15:41:52,15:43:52,120,3.33,80,0.65,g,g,g,15:45:12,80,15:47:08,JH,AK,16.5,10.2,16.8,0,
12-Jul-23,16C,JH22,15:45:00,15:46:48,108,5.02,86,0.79,g,g,g,15:48:15,87,15:49:28,JH,AK,16.5,10.2,16.8,0,
