TagID_Hex,Time_in_ana,Time_out_anac,Weight,Length,Scales,Fins,Eyes,Ad_Clip,Time_out_surgery,Bleeding,Time_recovered,Surgeon,Data_Rec,Rel_group,HT_Temp,HT_DO,SB_Temp,SB_DO,Notes,DateTagged,Tag_placement,Tank Number,OrderID,Mort24hr
JH01,09:43:25,09:44:41,2.21,69,g,g,g,,09:46:37,,,JH,AK,C,12,,12,,Surgery and timing test,2023-12-11,,,554,N
JH02,09:50:32,09:52:36,1.08,58,g,g,g,,09:53:54,,09:55:36,JH,AK,C,12,,12,,Major Flop,2023-12-11,,,555,N
JH03,09:57:29,09:59:11,1.92,68,g,g,g,,10:00:09,,10:04:30,JH,AK,C,12,,12,,,2023-12-11,,,556,N
06FC,10:15:49,10:17:27,3.49,72,g,g,g,,10:19:00,,10:20:37,JH,AK,L,12,,12,,,2023-12-11,TA,8,557,N
016F,10:19:30,10:21:00,2.19,70,g,g,g,,10:22:18,,10:24:58,JH,AK,L,12,,12,,,2023-12-11,TA,8,558,N
18,10:27:46,10:29:44,2.44,71,g,g,g,,10:31:19,,10:33:06,JH,AK,L,12,,12,,,2023-12-11,TA,8,559,N
073D,10:30:21,10:32:00,2.95,73,g,g,g,,10:33:14,,10:34:56,JH,AK,L,12,,12,,Floppy fish,2023-12-11,TA,8,560,N
003A,10:37:05,10:38:46,3.07,74,g,g,g,,10:40:42,,10:41:09,JH,AK,V,12,,12,,Floppy,2023-12-11,TA,9,561,N
191,10:41:53,10:43:23,2.63,70,g,g,g,,10:44:27,,10:46:31,JH,AK,V,12,,12,,"floppy, white stuff came out",2023-12-11,TA,9,562,N
677,10:47:52,10:49:35,3.78,79,G,G,G,,10:50:44,,10:52:06,JH,AK,V,12,,12,,,2023-12-11,TA,9,563,N
223,11:04:04,11:05:37,4.29,80,g,g,g,,11:06:46,,11:09:31,JH,AK,L,12,,12,,Big Floppy,2023-12-11,TA,8,564,N
55,11:06:05,11:07:55,2.69,75,g,g,g,,11:09:05,1,11:10:40,JH,AK,L,12,,12,,,2023-12-11,TA,8,565,N
012E,11:09:59,11:11:41,2.56,70,g,g,g,,11:12:40,,11:16:55,JH,AK,L,12,,12,,,2023-12-11,TA,8,566,N
038C,11:23:31,11:25:10,2.66,74,g,g,g,,11:26:18,,11:26:58,JH,AK,L,12,,12,,2 flops,2023-12-11,TA,8,567,N
560,11:25:33,11:27:07,4.48,85,g,g,g,,11:28:12,,11:30:15,JH,AK,L,12,,12,,,2023-12-11,TA,8,568,N
035D,11:33:48,11:35:23,2.95,78,g,g,g,,11:36:27,,11:39:09,JH,AK,V,12,,12,,Flop,2023-12-11,TA,9,569,N
533,11:36:06,11:37:52,2.33,70,g,g,g,,11:38:52,,11:41:40,JH,AK,V,12,,12,,,2023-12-11,TA,9,570,N
027A,11:38:00,11:39:51,4.59,80,g,g,g,,11:40:42,,11:44:10,JH,AK,V,12,,12,,"3 Flop, split",2023-12-11,TA,9,571,N
001D,11:40:03,11:41:43,1.99,96,g,g,g,,11:42:52,,11:43:50,JH,AK,V,12,,12,,,2023-12-11,TA,9,572,N
02D0,11:42:01,11:43:52,3.01,75,g,g,g,,11:44:48,,11:47:08,JH,AK,V,12,,12,,Operculum marginal,2023-12-11,TA,9,573,N
061C,11:45:27,11:46:59,2.87,75,g,g,g,,11:47:59,1,11:52:30,JH,AK,L,12,,12,,,2023-12-11,TA,8,574,N
216,11:49:33,11:51:20,3.21,75,g,g,g,,11:52:28,,11:55:54,JH,AK,L,12,,12,,,2023-12-11,TA,8,575,N
02C2,11:51:28,11:53:18,3.56,78,g,g,g,,11:54:25,,11:57:08,JH,AK,L,12,,12,,2 flop,2023-12-11,TA,8,576,N
06B3,11:53:30,11:55:19,3.86,81,g,g,g,,11:56:10,,11:58:15,JH,AK,L,12,,12,,,2023-12-11,TA,8,577,N
448,11:58:31,12:00:10,2.08,69,g,g,g,,12:01:33,,12:01:47,JH,AK,V,12,,12,,,2023-12-11,TA,9,578,N
392,12:00:28,12:02:13,3.18,75,g,g,g,,12:03:21,,12:07:15,JH,AK,V,12,,12,,flop,2023-12-11,TA,9,579,N
036E,12:06:00,12:07:35,2.89,72,g,g,g,,12:08:43,,12:10:54,JH,AK,V,12,,12,,Big flop,2023-12-11,TA,9,580,N
116,12:07:40,12:09:34,3.64,75,g,g,g,,12:10:45,,12:13:24,JH,AK,V,12,,12,,,2023-12-11,TA,9,581,N
315,12:09:30,12:11:28,2.69,70,g,g,g,,12:12:18,,12:15:48,JH,AK,V,12,,12,,,2023-12-11,TA,9,582,N
395,12:11:40,12:13:29,3.97,79,g,g,g,,12:14:16,,12:16:37,JH,AK,V,12,,12,,,2023-12-11,TA,9,583,N
03F2,12:13:36,12:15:11,2.69,72,g,g,g,,12:16:12,,12:18:49,JH,AK,V,12,,12,,Last to tank 9,2023-12-11,TA,9,584,N
033E,12:18:40,12:20:24,3.43,79,g,g,g,,12:21:15,,12:22:23,JH,AK,L,12,,12,,Last to tank 8,2023-12-11,TA,8,585,N
0E00,12:48:58,12:50:43,2.91,75,g,g,g,,12:51:46,,12:43:03,JH,AK,L,12,,12,,"To tank 11, Flopped",2023-12-11,TA,11,586,N
02FA,12:52:51,12:54:28,2.03,65,g,g,g,,12:55:35,1,12:58:03,JH,AK,L,12,,12,,,2023-12-11,TA,11,587,N
260,12:54:38,12:56:13,2.45,70,g,g,g,,12:56:58,,13:02:40,JH,AK,L,12,,12,,,2023-12-11,TA,11,588,N
02C7,12:56:30,12:58:06,2.45,70,g,g,g,,12:59:44,,12:58:16,JH,AK,V,12,,12,,To tank 12,2023-12-11,TA,12,589,N
07C8,12:58:56,13:00:31,3.43,77,g,g,g,,13:01:36,,13:04:05,JH,AK,V,12,,12,,,2023-12-11,TA,12,590,N
02CA,13:02:53,13:04:38,3.17,75,g,g,g,,13:05:38,,13:06:09,JH,AK,V,12,,12,,,2023-12-11,TA,12,591,N
002A,13:05:14,13:06:33,2.51,72,g,g,g,,13:07:28,,13:07:56,JH,AK,V,12,,12,,,2023-12-11,TA,12,592,N
376,13:22:24,13:24:16,2.46,70,g,g,g,,13:25:13,,13:28:56,JH,AK,L,12.3,,12,,,2023-12-11,TA,11,593,N
