raspPI_filestart,burstnumb,spp,trialdate,treatment,trialID,startside,burstFrom,burstTo,stalledAt,burstQual,stimQual,nFalseStart,Notes,testtemp,staff,acclimstart,trialstart,trialend,triallength,tunneltemp,holdingtank,fl_mm,mass_g,QAQC_Y_N,TagHex_ID,
T01_08_14_2023,1,DS,8/14/23,HC,T01,L,8,14,N/A,F,F,2,"started slow, burst starting gate 8",12,SG,9:07,9:17,9:40,23,12.4,AES-2,85,5,Y,,
T01_08_14_2023,2,DS,8/14/23,HC,T01,R,0,14,N/A,P,P,0,"slow burst, poor stim",12,SG,9:07,9:17,9:40,23,12.4,AES-2,85,5,Y,,
T01_08_14_2023,3,DS,8/14/23,HC,T01,L,0,14,N/A,F,F,0,delay due to laser misalignment,12,SG,9:07,9:17,9:40,23,12.4,AES-2,85,5,Y,,
T01_08_14_2023,4,DS,8/14/23,HC,T01,R,0,14,9,G,G,1,"stalled @ 9, then bursted again w/out stim",12,SG,9:07,9:17,9:40,23,12.4,AES-2,85,5,Y,,
T01_08_14_2023,5,DS,8/14/23,HC,T01,L,11,14,N/A,F,F,0,"slow start, strong burst 11-14",12,SG,9:07,9:17,9:40,23,12.4,AES-2,85,5,Y,,
T01_08_14_2023,6,DS,8/14/23,HC,T01,R,6,14,N/A,G,G,0,strong burst after gate 6,12,SG,9:07,9:17,9:40,23,12.4,AES-2,85,5,Y,,
T01_08_14_2023,7,DS,8/14/23,HC,T01,L,0,14,11,G,G,0,N/A,12,SG,9:07,9:17,9:40,23,12.4,AES-2,85,5,Y,,
T01_08_14_2023,8,DS,8/14/23,HC,T01,R,0,7,7,F,P,0,"poor stim, decent burst until gate 7, fish fatiguing ",12,SG,9:07,9:17,9:40,23,12.4,AES-2,85,5,Y,,
T02_08_14_2023,1,DS,8/14/23,LS,T02,R,2,14,N/A,G,P,0,"slow start, then strong burst 2-14",12,SG,10:04,10:15,10:27,12,12.1,AES-3,86,4.5,Y,,
T02_08_14_2023,2,DS,8/14/23,LS,T02,R,0,14,10,F,F,0,N/A,12,SG,10:04,10:15,10:27,12,12.1,AES-3,86,4.5,Y,,
T02_08_14_2023,3,DS,8/14/23,LS,T02,L,2,14,N/A,G,G,1,"slow start, good burst 2-14",12,SG,10:04,10:15,10:27,12,12.1,AES-3,86,4.5,Y,,
T02_08_14_2023,4,DS,8/14/23,LS,T02,L,0,10,10,G,P,0,"no stim, strong burst 0-10",12,SG,10:04,10:15,10:27,12,12.1,AES-3,86,4.5,Y,,
T02_08_14_2023,5,DS,8/14/23,LS,T02,L,0,14,N/A,G,G,1,very good,12,SG,10:04,10:15,10:27,12,12.1,AES-3,86,4.5,Y,,
T02_08_14_2023,6,DS,8/14/23,LS,T02,R,7,14,5,G,F,0,"0-5 good, stalled, 7-14 good",12,SG,10:04,10:15,10:27,12,12.1,AES-3,86,4.5,Y,,
T02_08_14_2023,7,DS,8/14/23,LS,T02,L,0,6,6,P,P,0,stopped at turned around @ 6,12,SG,10:04,10:15,10:27,12,12.1,AES-3,86,4.5,Y,,
T02_08_14_2023,8,DS,8/14/23,LS,T02,L,0,14,N/A,G,G,0,good burst,12,SG,10:04,10:15,10:27,12,12.1,AES-3,86,4.5,Y,,
T03_08_14_2023,1,DS,8/14/23,FC,T03,L,0,14,N/A,G,G,1,great,12,SG,10:34,10:44,10:55,11,12.3,AES-1,74,2.9,Y,,
T03_08_14_2023,2,DS,8/14/23,FC,T03,R,9,14,5,F,P,0,"0-5, stall, 9-14",12,SG,10:34,10:44,10:55,11,12.3,AES-1,74,2.9,Y,,
T03_08_14_2023,3,DS,8/14/23,FC,T03,L,0,14,N/A,G,G,1,great,12,SG,10:34,10:44,10:55,11,12.3,AES-1,74,2.9,Y,,
T03_08_14_2023,4,DS,8/14/23,FC,T03,R,0,14,N/A,P,F,0,"very slow, poor burst",12,SG,10:34,10:44,10:55,11,12.3,AES-1,74,2.9,Y,,
T03_08_14_2023,5,DS,8/14/23,FC,T03,R,10,14,7,G,F,0,"slow start, good burst after 2nd stim, 10-14",12,SG,10:34,10:44,10:55,11,12.3,AES-1,74,2.9,Y,,
T03_08_14_2023,6,DS,8/14/23,FC,T03,R,0,14,N/A,F,F,0,"slow, steady",12,SG,10:34,10:44,10:55,11,12.3,AES-1,74,2.9,Y,,
T03_08_14_2023,7,DS,8/14/23,FC,T03,L,0,8,8,F,P,0,good 0-8 then stall,12,SG,10:34,10:44,10:55,11,12.3,AES-1,74,2.9,Y,,
T03_08_14_2023,8,DS,8/14/23,FC,T03,L,0,8,9,G,G,1,good 0-8 then stall,12,SG,10:34,10:44,10:55,11,12.3,AES-1,74,2.9,Y,,
T04_08_14_2023,1,DS,8/14/23,VS,T04,R,2,14,N/A,G,G,0,"slow start, good 2-14",12,SG,11:02,11:12,11:23,11,12.2,AES-4,92,7.5,Y,,
T04_08_14_2023,2,DS,8/14/23,VS,T04,L,0,14,N/A,P,P,3,poor ,12,SG,11:02,11:12,11:23,11,12.2,AES-4,92,7.5,Y,,
