raspPI_filestart,spp,hatchdate,f_status,tagdate,staff,trialdate,accstart,trialstart,trialend,tunneltemp,tagID,treatment,trialID,holdingtank,fl_mm,mass_g,sex,burstnumb,startside,burstFrom,burstTo,stalledAt,burstQual,stimQual,nFalseStart,Notes
T01_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,9:49:00,9:59:00,10:10:00,13.1,034C,LT,t01,8,68,2.1,F,1,R,9,14,,G,G,,
T01_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,9:49:00,9:59:00,10:10:00,13.1,034C,LT,t01,8,68,2.1,F,2,L,4,10,,G,G,1,
T01_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,9:49:00,9:59:00,10:10:00,13.1,034C,LT,t01,8,68,2.1,F,3,R,0,14,,G,G,,
T01_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,9:49:00,9:59:00,10:10:00,13.1,034C,LT,t01,8,68,2.1,F,4,L,0,14,,G,G,1,"missed 6,7,8"
T01_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,9:49:00,9:59:00,10:10:00,13.1,034C,LT,t01,8,68,2.1,F,5,R,0,14,,F,F,,
T01_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,9:49:00,9:59:00,10:10:00,13.1,034C,LT,t01,8,68,2.1,F,6,L,0,14,,P,P,,
T01_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,9:49:00,9:59:00,10:10:00,13.1,034C,LT,t01,8,68,2.1,F,7,R,9,14,,G,G,,
T01_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,9:49:00,9:59:00,10:10:00,13.1,034C,LT,t01,8,68,2.1,F,8,L,0,14,,P,P,1,laser malfunction
T01_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,9:49:00,9:59:00,10:10:00,13.1,034C,LT,t01,8,68,2.1,F,9,L,0,14,,P,P,,
T02_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,10:11:00,10:21:00,10:32:00,13.3,05DD,VT,t02,9,75,3.05,F,1,L,0,14,,P,P,2,
T02_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,10:11:00,10:21:00,10:32:00,13.3,05DD,VT,t02,9,75,3.05,F,2,R,0,14,,P,P,1,
T02_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,10:11:00,10:21:00,10:32:00,13.3,05DD,VT,t02,9,75,3.05,F,3,L,5,14,,G,G,,
T02_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,10:11:00,10:21:00,10:32:00,13.3,05DD,VT,t02,9,75,3.05,F,4,R,0,14,,P,P,,"slightly LOE, laser malfunction"
T02_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,10:11:00,10:21:00,10:32:00,13.3,05DD,VT,t02,9,75,3.05,F,5,L,0,14,,P,P,,
T02_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,10:11:00,10:21:00,10:32:00,13.3,05DD,VT,t02,9,75,3.05,F,6,R,0,14,,P,P,,
T02_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,10:11:00,10:21:00,10:32:00,13.3,05DD,VT,t02,9,75,3.05,F,7,L,7,14,,G,G,,
T02_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,10:11:00,10:21:00,10:32:00,13.3,05DD,VT,t02,9,75,3.05,F,8,R,0,14,,P,P,,
T02_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,10:11:00,10:21:00,10:32:00,13.3,05DD,VT,t02,9,75,3.05,F,9,L,0,14,,P,P,,laser malfunction
T02_DSExp3_12_18_2023,DS,1/1/23,16,12/11/23,"SG,KK",12/18/23,10:11:00,10:21:00,10:32:00,13.3,05DD,VT,t02,9,75,3.05,F,10,R,0,14,,G,G,,
