Trial,Fish,spp,trial_date,tag_date,hatch_date,staff,f_status,mass_g,fl_mm,sex,tankID,treat_group,tag_ID,,start_temp,end_temp,time_fish_in,time_trial_end,fail_y_n,time_fail,time_fail_sec,time_fail_min,step_at_fail,ucrit_cm.s_avg,ucrit_cm.s_act,ucrit_bl.s_avg,ucrit_bl.s_act,vel_fail_cm_s,vel_increment_avg_cm.s,vel_increment_act_cm.s,time_elapsed_fatigue_min,time_elapsed_fatigue_sec,decimal_mins,interval_length_min,
1,6,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,3.5,76,female,8,lt,02c2,,11.7,11.6,8:22:00 AM,11:01:00 AM,y,2:20:00,8400,140,,,,,,65.6,3.5,,,,,10,
1,5,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,2.56,74,male,9,vt,03f2,,11.7,11.6,8:22:00 AM,11:01:00 AM,y,2:16:51,,,,,,,,65.6,3.5,,,,,10,
1,4,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,2.66,79,female,7,fc,na,,11.7,11.6,8:22:00 AM,11:01:00 AM,y,0:58:50,,,,,,,,37.4,3.5,,,,,10,
1,3,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,3.58,81,female,8,lt,0076,,11.7,11.6,8:22:00 AM,11:01:00 AM,y,0:58:43,,,,,,,,37.4,3.5,,,,,10,
1,2,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,4.26,79,female,7,fc,na,,11.7,11.6,8:22:00 AM,11:01:00 AM,y,0:04:35,,,,,,,,20.3,3.5,,,,,10,
1,1,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,4.57,82,female,9,vt,027a,,11.7,11.6,8:22:00 AM,11:01:00 AM,y,0:00:47,,,,,,,,20.3,3.5,,,,,10,
2,6,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,3.84,79,female,9,vt,0395,,11.8,12.4,11:21:00 AM,1:59:00 PM,y,2:25:00,,,,,,,,69.1,3.5,,,,,10,
2,5,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,3.53,82,male,7,fc,na,,11.8,12.4,11:21:00 AM,1:59:00 PM,y,2:19:32,,,,,,,,65.6,3.5,,,,,10,
2,4,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,2.16,73,male,9,vt,0533,,11.8,12.4,11:21:00 AM,1:59:00 PM,y,2:16:13,,,,,,,,65.6,3.5,,,,,10,
2,3,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,2.73,73,female,8,lt,0055,,11.8,12.4,11:21:00 AM,1:59:00 PM,y,2:05:32,,,,,,,,62,3.5,,,,,10,
2,2,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,2.26,72,female,7,fc,na,,11.8,12.4,11:21:00 AM,1:59:00 PM,y,2:03:04,,,,,,,,62,3.5,,,,,10,
2,1,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,2.91,76,male,8,lt,073d,,11.8,12.4,11:21:00 AM,1:59:00 PM,y,1:34:32,,,,,,,,51.6,3.5,,,,,10,
3,6,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,2.13,66,female,7,fc,na,,12.6,12.3,2:14:00 PM,4:10:00 PM,y,1:42:09,,,,,,,,54.9,3.5,,,,,10,
3,5,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,2.05,65,male,8,lt,00f1,,12.6,12.3,2:14:00 PM,4:10:00 PM,y,1:37:39,,,,,,,,51.6,3.5,,,,,10,
3,4,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,2.09,70,male,7,fc,na,,12.6,12.3,2:14:00 PM,4:10:00 PM,y,1:34:55,,,,,,,,51.6,3.5,,,,,10,
3,3,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,2.44,70,female,8,lt,01e9,,12.6,12.3,2:14:00 PM,4:10:00 PM,y,1:23:58,,,,,,,,47.9,3.5,,,,,10,
3,2,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,2.09,69,ukn,9,vt,0448,,12.6,12.3,2:14:00 PM,4:10:00 PM,y,0:26:32,,,,,,,,27.3,3.5,,,,,10,
3,1,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,2.55,69,male,9,vt,0191,,12.6,12.3,2:14:00 PM,4:10:00 PM,y,0:24:46,,,,,,,,27.3,3.5,,,,,10,
4,6,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,2.31,70,male,7,fc,na,,12.4,12.8,4:24:00 PM,6:50:00 PM,y,2:09:07,,,,,,,,62,3.5,,,,,10,
4,5,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,2.11,67,male,9,vt-shed,shed,,12.4,12.8,4:24:00 PM,6:50:00 PM,y,1:58:13,,,,,,,,58.3,3.5,,,,,10,
4,4,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,2.94,74,male,8,lt,02fc,,12.4,12.8,4:24:00 PM,6:50:00 PM,y,1:57:50,,,,,,,,58.3,3.5,,,,,10,
4,3,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,3.7,76,male,7,fc,na,,12.4,12.8,4:24:00 PM,6:50:00 PM,y,1:37:41,,,,,,,,51.6,3.5,,,,,10,
4,2,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,4.21,75,female,9,vt,060e,,12.4,12.8,4:24:00 PM,6:50:00 PM,y,1:28:12,,,,,,,,47.9,3.5,,,,,10,
4,1,DeltaSmelt,12/18/23,12/21/23,1/1/23,"MD, SH",16,4.45,81,male,9,vt,0534,,12.4,12.8,4:24:00 PM,6:50:00 PM,y,0:41:40,,,,,,,,34.2,3.5,,,,,10,
5,6,DeltaSmelt,12/19/23,12/21/23,1/1/23,"MD, SH",16,2.19,69,male,10,fc,na,,12.5,12.8,7:41:00 AM,10:26:00 AM,y,2:29:11,,,,,,,,69.1,3.5,,,,,10,
5,5,DeltaSmelt,12/19/23,12/21/23,1/1/23,"MD, SH",16,3.18,76,female,11,lt,01f4,,12.5,12.8,7:41:00 AM,10:26:00 AM,y,2:22:02,,,,,,,,65.6,3.5,,,,,10,
5,4,DeltaSmelt,12/19/23,12/21/23,1/1/23,"MD, SH",16,2.98,75,female,10,fc,na,,12.5,12.8,7:41:00 AM,10:26:00 AM,y,2:21:18,,,,,,,,65.6,3.5,,,,,10,
5,3,DeltaSmelt,12/19/23,12/21/23,1/1/23,"MD, SH",16,2.43,73,male,11,lt,0311,,12.5,12.8,7:41:00 AM,10:26:00 AM,y,1:25:49,,,,,,,,47.9,3.5,,,,,10,
