Number,TagID_Hex,spp,Rel_group,TankID,TagDate,MortDate,ExptMort,Mort_Mass_g,Mort_FL_mm,Sex,ReproIndex,ReproNotes
1,612,DeltaSmelt,LT,AES-5,8/8/23,8/9/23,Natural,2.6,69,M,1,Normal testes
2,001D,DeltaSmelt,LT,AES-5,8/8/23,8/9/23,Natural,3.9,84,F,1,premature eggs
3,25,DeltaSmelt,LT,AES-5,8/8/23,8/9/23,Natural,3.2,78,M,4,"shrunken testes, post-spawn"
4,285,DeltaSmelt,VT,AES-6,8/8/23,8/10/23,Natural,5.8,90,F,1,premature eggs
5,368,DeltaSmelt,VT,AES-6,8/8/23,8/10/23,Natural,3,71,M,2,large testes
6,533,DeltaSmelt,LT,AES-5,8/8/23,8/10/23,Natural,3.4,77,M,2,enlarged testes
7,07A1,DeltaSmelt,LT,AES-5,8/8/23,8/10/23,Natural,3.5,84,F,1,premature eggs
8,045F,DeltaSmelt,LT,AES-5,8/8/23,8/10/23,Natural,2.8,76,F,4,"small number of fully developed eggs, deflated stomach"
9,006F,DeltaSmelt,LT,AES-5,8/8/23,8/10/23,Natural,2.9,70,M,1,normal testes
10,FC01,DeltaSmelt,FC,AES-1,8/8/23,8/10/23,Natural,5.2,84,F,2,"mostly developed eggs, some fatty tissue/premature eggs still remain"
11,FC02,DeltaSmelt,FC,AES-1,8/8/23,8/10/23,Natural,2.3,71,F,1,premature eggs
12,HC01,DeltaSmelt,HC,AES-2,8/8/23,8/10/23,Natural,4.1,80,M,2,large testes
13,HC02,DeltaSmelt,HC,AES-2,8/8/23,8/10/23,Natural,2.4,73,M,1,normal testes
14,LS01,DeltaSmelt,LS,AES-3,8/8/23,8/10/23,Natural,3.3,78,M,2,enlarged testes
15,LS02,DeltaSmelt,LS,AES-3,8/8/23,8/10/23,Natural,3.6,83,M,2,enlarged testes
16,NA,DeltaSmelt,VS,AES-4,8/8/23,8/10/23,Natural,4.5,84,F,1,mostly immature eggs
17,NA,DeltaSmelt,VS,AES-4,8/8/23,8/10/23,Natural,5.1,88,F,2,fully developed eggs
18,NA,DeltaSmelt,VS,AES-4,8/8/23,8/10/23,Natural,3.9,79,F,1,premature eggs
21,570,DeltaSmelt,LT,AES-5,8/8/23,8/11/23,Natural,3.6,76,M,2,enlarged testes
22,Shed,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Natural,6.1,86,F,3,very mature eggs
23,606,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Natural,3.1,74,M,4,shrunken stomach and very small testes
24,FC03,DeltaSmelt,FC,AES-1,8/8/23,8/11/23,Natural,2.6,66,M,1,normal testes
25,NA,DeltaSmelt,VS,AES-4,8/8/23,8/11/23,Natural,2.2,65,M,4,shrunken stomach and very small testes
