Rel_group,TagID_Hex,Time_in_ana,Time_out_anac,DrugTime,Weight,Length,CF,Scales,Fins,Eyes,Time_out_surgery,Bleeding,SurgTime,Time_recovered,Surgeon,Data_Rec,HT_Temp,HT_DO,SB_Temp,SB_DO,Notes,DateTagged,RecordOfMortality
VT,046F,9:26:38,9:28:41,123,4.65,82,0.84,G,G,G,9:29:31,0,50,9:32:39,EC,RW,12.1,10.4,,,"F0, Eric Chapman (EC), Jason Hassrick (JH), Rita Wilson (RW), Julien Scribner (JS), Sebastian Gregorio (SG), Anne Boyd (AB)",8/8/23,n
VS,EC01,9:31:01,9:33:18,137,6.2,89,0.88,G,G,G,9:34:25,0,67,9:37:25,EC,RW,,,,,"F0, SOFT BELLY, GRAVID, Ph holding tank: 8.4
Ph recovery tank: 8.6
Ph knock out: 8.7",8/8/23,NA
LT,533,9:40:11,9:42:10,119,3.29,73,0.85,G,G,G,9:43:12,0,62,9:45:12,EC,RW,,,,,"F2, FAIR INCISION",8/8/23,y
LS,EC02,9:41:51,9:44:16,145,4.71,82,0.85,G,G,G,9:45:04,0,48,9:46:42,EC,RW,,,,,F2,8/8/23,NA
HC,EC03,9:45:33,9:47:42,129,3.64,82,0.66,G,G,G,9:48:40,,58,9:52:13,EC,RW,,,,,LATERAL,8/8/23,NA
FC,EC04,9:46:19,,,,,,,,,,,,,EC,RW,,,,,,8/8/23,NA
VT,285,9:49:33,9:51:35,122,5.87,92,0.75,G,G,G,9:52:40,0,65,9:55:22,EC,RW,,,,,F1,8/8/23,y
VS,EC05,9:53:47,9:55:56,129,2.73,77,0.6,G,G,G,9:56:49,0,53,9:58:04,EC,RW,,,,,F1,8/8/23,NA
LT,25,10:08:43,10:10:53,130,3,79,0.61,G,G,G,10:11:54,0,61,10:15:08,EC,RW,,,,,"F5, FAIR INCISION, 6 TO 9 GALLONS IN KO BUCKET WHICH ELIMINATED BUBBLE ISSUE,",8/8/23,y
LS,EC06,10:15:42,10:18:06,144,3.74,78,0.79,G,G,G,10:19:03,0,57,10:22:09,EC,RW,,,,,COUNTERCLOCKWISE CURRENT IN KO BUCKET,8/8/23,NA
HC,EC07,10:19:00,10:21:15,135,4.29,83,0.75,G,G,G,10:22:19,,64,10:25:25,EC,RW,,,,,VENTRAL,8/8/23,NA
FC,EC08,10:19:43,,,,,,,,,,,,,EC,RW,,,,,,8/8/23,NA
VT,035C,10:30:09,10:32:22,133,6.16,83,1.08,G,G,G,10:33:29,0,67,10:36:39,EC,RW,,,,,"GRAVID, SOFT BELLY, LARGE INCISION, F0",8/8/23,y
VS,EC09,10:32:56,10:34:59,123,4,80,0.78,G,G,G,10:35:44,0,45,10:39:33,EC,RW,,,,,F0,8/8/23,NA
LT,07A9,10:36:00,10:38:51,171,5.19,89,0.74,G,G,G,10:39:39,0,48,10:43:09,EC,RW,,,,,"GRAVID, F0",8/8/23,n
LS,EC10,10:39:22,10:41:26,124,3.76,81,0.71,G,G,G,10:42:15,0,49,10:45:30,EC,RW,,,,,F0,8/8/23,NA
HC,EC11,10:41:54,10:44:02,128,2.87,74,0.71,G,G,G,10:45:03,,61,10:49:16,EC,RW,,,,,LATERAL,8/8/23,NA
FC,EC12,10:43:51,,,,,,,,,,,,,EC,RW,,,,,,8/8/23,NA
VT,02A2,10:44:24,10:46:59,155,3.6,78,0.76,G,G,G,10:47:53,0,54,10:52:18,EC,RW,,,,,"DAMAGED OPERCULUM, F0",8/8/23,y
VS,EC13,10:47:15,10:49:03,108,3.19,77,0.7,G,G,G,10:49:44,0,41,10:52:07,EC,RW,,,,,F0,8/8/23,NA
LT,315,10:49:51,10:51:53,122,4.11,80,0.8,G,G,G,10:52:42,0,49,10:57:13,EC,RW,,,,,"DULL BLADE, F0",8/8/23,y
LS,EC14,10:52:49,10:54:53,124,3.18,73,0.82,G,G,G,10:55:45,0,52,10:59:23,EC,RW,,,,,F0,8/8/23,NA
HC,EC15,10:56:53,10:58:59,126,4.41,82,0.8,G,G,G,10:59:52,,53,11:02:32,EC,RW,,,,,VENTRAL,8/8/23,NA
FC,EC16,10:58:52,,,,,,,,,,,,,EC,RW,,,,,,8/8/23,NA
VT,796,10:59:58,11:02:19,141,3.08,77,0.67,G,G,G,11:03:16,0,57,11:05:21,EC,RW,,,,,"SWAPPED RINSE FOR TOOLS, F1",8/8/23,n
VS,EC17,11:02:59,11:05:31,152,4.83,85,0.79,G,G,G,11:06:14,0,43,11:10:37,EC,RW,,,,,F0,8/8/23,NA
LT,88,11:05:58,11:08:10,132,3.79,79,0.77,G,G,G,11:09:14,0,64,11:12:54,EC,RW,,,,,F0,8/8/23,y
LS,EC18,11:09:18,11:11:25,127,3.76,79,0.76,,,,11:12:20,0,55,11:15:09,EC,RW,,,,,F0,8/8/23,NA
HC,EC19,11:12:05,11:14:16,131,3.53,80,0.69,G,F,G,11:15:25,,69,11:16:31,EC,RW,,,,,"LATERAL, RED AROUNF VENTRAL FIN",8/8/23,NA
FC,EC20,11:13:25,,,,,,,,,,,,,EC,RW,,,,,,8/8/23,NA
VT,02A3,11:15:06,11:17:14,128,2.92,74,0.72,G,G,G,11:18:09,0,55,11:22:11,EC,RW,,,,,"LARGE INCISION, DULL BLADE, F0",8/8/23,y
VS,EC21,11:18:33,11:21:09,156,3.1,78,0.65,G,G,G,11:21:57,0,48,11:26:28,EC,RW,,,,,F0,8/8/23,NA
