Number,TagID_Hex,spp,Rel_group,TankID,TagDate,MortDate,ReasonforMort,Mort_Mass_g,Mort_FL_mm,Sex,ReproIndex,ReproNotes,Ext.Bruise_Score,ExtBruise_Notes,IntBruise_Score,IntBruise_Notes,Incision_Score,Incision_Notes,TagPlacement_Score,TagPlacement_Notes,GenAppearance_Score,GenAppearance_Notes,CumulativeScore,Gut_Full_YN,Other Notes,PhotosTaken_YN,Photo Notes
spp,taqgging date,Number,TagID_Hex,TempGroup,ExptMort,MortDate,NecropsyDate,Mort_Mass_g,Mort_FL_mm,Notes,Sex,ReproIndex,ReproNotes,Incision,Tag Placement,Photo Notes,,,,,,,,,,,
delta smelt,7/12/23,27,06FC,12,natural,7/13/23,,2.5,71,"redness throughout body, external bruising, loose red tissue around tag, came with tag when removed",male,0,,"small, ventral, red","rotated 45 degrees, no migration",red tissue around tag,,,,,,,,,,,
delta smelt,7/12/23,28,04D8,12,natural,7/13/23,,5.9,85,"no external or internal bruising, fish appeared very healthy",female,3, lots of eggs,"long, open","no migration, slight rotation, embedded in eggs",tag embedded in eggs,,,,,,,,,,,
delta smelt,7/12/23,29,355,12,natural,7/13/23,,2.6,69,"external bruising opposite of incision, lots of internal bruising",male,0,,open,"no rotation, slightly migrated towards tale",,,,,,,,,,,,
delta smelt,7/12/23,30,52,12,natural,7/13/23,,3.4,77,"tag visible thru incision, external ventral bruising and bruising opposite of incision, internal bruising visible after eggs pulled out",female,3, lots of eggs,open,no migration or rotation,external bruising,,,,,,,,,,,
delta smelt,7/12/23,31,140,12,natural,7/13/23,,2.7,66,"external bruising opposite of incision, internal bruising around tag",male,0,,"jagged, ventral","embedded in guts, no rotation or migration",jagged incision,,,,,,,,,,,
delta smelt,7/12/23,32,033F,12,natural,7/13/23,,2.6,69,"external bruising opposite of incision, heavy internal bruising",female,0,,"long, jagged","good, no migration or rotation",,,,,,,,,,,,
delta smelt,7/12/23,26,37,16,natural,7/13/23,,2.4,66,"Appears healthy, incision somewhat open, some internal brusing around tag",male,0,,"open, straight, clean","parallel, no movement",,,,,,,,,,,,
delta smelt,7/12/23,36,076F,12,natural,7/14/23,,3.3,69,"limited bruising opposite incision, limited internal bruising, fish looks good",male,0,,"large, open","no migration or rotation, underneath teste",,,,,,,,,,,,
delta smelt,7/12/23,37,04D2,12,natural,7/14/23,,3.4,77,"wound above pelvic fin same side as incision, redness in eye, heavy internal bruising and external opposite of incision",male,0,,dorsal,"rotated 45 degrees, under teste",,,,,,,,,,,,
delta smelt,7/12/23,38,03FC,12,natural,7/14/23,,4.5,86,"minor bruising opposite of incision, minor internal bruising",female,2, eggs,"small, ventral, open","migrated posterior, no rotation, embedded in eggs",,,,,,,,,,,,
delta smelt,7/12/23,39,052F,12,natural,7/14/23,,6.2,99,"no ext or int bruising, fish looks healthy",female,1, undeveloped eggs,"small, ventral, closed","rotate 90 degrees, points against either side of body wall",weird tag rotation,,,,,,,,,,,
delta smelt,7/12/23,33,01F6,16,natural,7/14/23,,5,86,"no external bruising, bleeding thru incision, lots of bleeding underneath incision",female,2, eggs,"maybe too close to head, bleeding underneath and thru incision","migrated slightly towards tail, no rotation, embedded in eggs",bleeding thru incision,,,,,,,,,,,
