Rel_group,TagID_Hex,Time_in_ana,Time_out_anac,Weight,Length,Scales,Fins,Eyes,Time_out_surgery,Bleeding,Time_recovered,Surgeon,Data_Rec,HT_Temp,HT_DO,SB_Temp,SB_DO,Notes,DateTagged,OrderID
12T,04D8,10:36:59,10:39:12,5.42,87,G,G,G,10:41:08,0,10:42:10,JH,AK,12.4,10.8,12,,Did not get into water quickly. Low MS-222 dose,7/12/23,4
12C,JH01,10:43:15,10:45:32,2.75,70,G,G,G,10:47:39,0,10:48:06,JH,AK,12.4,10.8,12,,"Jumped onto lap, mark on operculum. Low MS-222 concentration",7/12/23,5
12T,058F,11:00:06,11:02:25,3.44,78,G,G,G,11:04:06,0,11:08:17,JH,AK,12.4,10.8,12,,,7/12/23,6
12C,JH02,11:09:18,11:11:55,2.38,76,G,G,G,11:13:45,0,11:20:28,JH,AK,12.4,10.8,12,,,7/12/23,7
12T,07BC,11:24:13,11:26:15,2,69,G,G,G,11:28:13,0,11:31:42,JH,AK,12.4,10.8,12,,,7/12/23,8
12C,JH03,11:28:18,11:30:15,4.89,89,G,G,G,11:31:39,0,11:33:43,JH,AK,12.4,10.8,12,,jumped on table,7/12/23,9
12T,0127,11:35:31,11:37:35,6.65,91,G,G,G,11:39:35,0,11:41:02,JH,AK,12.4,10.8,12,,,7/12/23,10
12C,JH04,11:44:23,11:47:14,3.75,79,G,G,G,11:49:11,0,11:52:21,JH,AK,12.4,10.8,12,,,7/12/23,11
12T,03B5,11:52:24,11:55:08,2.43,69,G,G,G,11:56:38,2,11:59:56,JH,AK,12.4,10.8,12,,,7/12/23,12
16T,07A0,12:43:41,12:45:46,5.4,86,G,F,G,12:47:02,0,12:48:11,JH,AK,16.5,10.2,16.6,,,7/12/23,14
16C,JH06,12:47:54,12:50:15,5.15,87,G,G,G,12:51:37,0,12:53:32,JH,AK,16.5,10.2,16.6,,,7/12/23,15
16T,0257,12:51:00,12:53:04,3.47,79,G,G,G,12:54:23,0,12:55:38,JH,AK,16.5,10.2,16.6,,,7/12/23,16
16C,JH07,12:53:39,12:55:21,3.07,74,G,G,G,12:56:44,0,12:58:40,JH,AK,16.5,10.2,16.6,,,7/12/23,17
16T,017D,12:59:16,13:00:59,4.14,83,G,G,G,13:02:51,0,13:03:24,JH,AK,16.5,10.2,16.6,,Tag difficult to insert,7/12/23,18
16C,JH08,13:02:31,13:04:14,3.43,78,G,G,G,13:05:41,0,13:08:30,JH,AK,16.5,10.2,16.6,,small protrusion on mouth,7/12/23,19
