Number,TagID_Hex,spp,Rel_group,TankID,TagDate,MortDate,ExptMort,Mort_mass_g,Mort_FL_mm,Sex
1,0051,DeltaSmelt,LT,AES-8,12/21/23,12/22/23,Natural,4.9,78,F
2,013F,DeltaSmelt,LT,AES-8,12/21/23,12/22/23,Natural,3.14,75,M
3,016F,DeltaSmelt,LT,AES-8,12/21/23,12/22/23,Natural,3,71,M
4,052F,DeltaSmelt,VT,AES-9,12/21/23,12/22/23,Natural,1.91,66,F
5,F101,DeltaSmelt,FC,AES-7,12/21/23,12/22/23,Natural,2.18,70,M
6,002C,DeltaSmelt,VT,AES-9,12/21/23,12/23/23,Natural,2.1,63,M
7,0037,DeltaSmelt,LT,AES-8,12/21/23,12/23/23,Natural,2.4,71,M
8,00A8,DeltaSmelt,LT,AES-8,12/21/23,12/23/23,Natural,2.47,69,M
9,00AB,DeltaSmelt,LT,AES-8,12/21/23,12/23/23,Natural,1.99,65,M
10,00DC,DeltaSmelt,LT,AES-8,12/21/23,12/23/23,Natural,4.53,79,F
11,01FD,DeltaSmelt,VT,AES-9,12/21/23,12/23/23,Natural,2.62,70,M
12,027A,DeltaSmelt,VT,AES-3,12/22/23,12/23/23,Natural,3.32,73,U
13,02A3,DeltaSmelt,LT,AES-8,12/21/23,12/23/23,Natural,3.78,79,F
14,02C7,DeltaSmelt,LT,AES-8,12/21/23,12/23/23,Natural,2.5,70,M
15,033E,DeltaSmelt,LT,AES-8,12/21/23,12/23/23,Natural,3.5,70,F
16,07A9,DeltaSmelt,VT,AES-9,12/21/23,12/23/23,Natural,2.09,66,M
17,F102,DeltaSmelt,FC,AES-7,12/21/23,12/23/23,Natural,2.95,73,M
18,F103,DeltaSmelt,FC,AES-7,12/21/23,12/23/23,Natural,1.91,65,M
19,0034,DeltaSmelt,LT,AES-8,12/21/23,12/24/23,Natural,3.46,75,M
20,00B7,DeltaSmelt,VT,AES-9,12/21/23,12/24/23,Natural,2.48,69,M
21,0111,DeltaSmelt,LT,AES-2,12/22/23,12/24/23,Natural,3.67,75,M
22,0155,DeltaSmelt,LT,AES-8,12/21/23,12/24/23,Natural,2.76,69,M
23,0184,DeltaSmelt,LT,AES-2,12/22/23,12/24/23,Natural,4.71,78,F
24,0194,DeltaSmelt,LT,AES-8,12/21/23,12/24/23,Natural,2.09,68,M
25,01A8,DeltaSmelt,LT,AES-8,12/21/23,12/24/23,Natural,5.18,83,F
26,0207,DeltaSmelt,LT,AES-8,12/21/23,12/24/23,Natural,3.18,71,F
27,0285,DeltaSmelt,VT,AES-3,12/22/23,12/24/23,Natural,1.95,66,M
28,02A2,DeltaSmelt,LT,AES-2,12/22/23,12/24/23,Natural,4.88,78,F
29,02D0,DeltaSmelt,VT,AES-9,12/21/23,12/24/23,Natural,2.81,70,M
30,02F2,DeltaSmelt,LT,AES-8,12/21/23,12/24/23,Natural,3.16,77,M
31,0311,DeltaSmelt,VT,AES-9,12/21/23,12/24/23,Natural,2.26,66,M
32,03C4,DeltaSmelt,LT,AES-8,12/21/23,12/24/23,Natural,4.33,76,F
33,03D2,DeltaSmelt,LT,AES-2,12/22/23,12/24/23,Natural,2.6,67,M
34,05D8,DeltaSmelt,LT,AES-2,12/22/23,12/24/23,Natural,2.61,71,M
35,F104,DeltaSmelt,FC,AES-7,12/21/23,12/24/23,Natural,3.81,79,F
36,F105,DeltaSmelt,FC,AES-7,12/21/23,12/24/23,Natural,5.04,82,F
37,F106,DeltaSmelt,FC,AES-7,12/21/23,12/24/23,Natural,1.71,61,M
38,F201,DeltaSmelt,FC,AES-1,12/22/23,12/24/23,Natural,2.84,73,F
39,SHED,DeltaSmelt,VT,AES-9,12/21/23,12/24/23,Shed,3.7,79,F
40,0052,DeltaSmelt,LT,AES-8,12/21/23,12/25/23,Natural,2.38,70,M
41,006F,DeltaSmelt,LT,AES-2,12/22/23,12/25/23,Natural,3.28,74,M
42,0076,DeltaSmelt,LT,AES-2,12/22/23,12/25/23,Natural,2.27,69,M
43,00BB,DeltaSmelt,VT,AES-3,12/22/23,12/25/23,Natural,3,72,M
44,00F3,DeltaSmelt,VT,AES-9,12/21/23,12/25/23,Natural,2.39,69,M
45,010D,DeltaSmelt,LT,AES-8,12/21/23,12/25/23,Natural,2.45,66,M
46,0269,DeltaSmelt,VT,AES-3,12/22/23,12/25/23,Natural,2.15,68,M
47,030D,DeltaSmelt,VT,AES-3,12/22/23,12/25/23,Natural,2.49,70,M
48,03CF,DeltaSmelt,LT,AES-8,12/21/23,12/25/23,Natural,2.8,72,M
49,06CE,DeltaSmelt,VT,AES-9,12/21/23,12/25/23,Natural,3.45,77,M
50,0725,DeltaSmelt,LT,AES-2,12/22/23,12/25/23,Natural,2.36,68,M
51,F107,DeltaSmelt,FC,AES-7,12/21/23,12/25/23,Natural,1.38,56,F
52,F108,DeltaSmelt,FC,AES-7,12/21/23,12/25/23,Natural,1.73,65,M
53,002A,DeltaSmelt,LT,AES-8,12/21/23,12/26/23,Natural,3.28,73,F
54,009A,DeltaSmelt,LT,AES-2,12/22/23,12/26/23,Natural,2.62,70,M
55,00A0,DeltaSmelt,LT,AES-2,12/22/23,12/26/23,Natural,1.9,65,M
56,0110,DeltaSmelt,LT,AES-8,12/21/23,12/26/23,Natural,4.83,81,F
57,012E,DeltaSmelt,LT,AES-2,12/22/23,12/26/23,Natural,3.44,73,F
58,01E9,DeltaSmelt,LT,AES-8,12/21/23,12/26/23,Natural,3.75,73,F
59,0200,DeltaSmelt,VT,AES-9,12/21/23,12/26/23,Natural,2.57,69,M
60,0315,DeltaSmelt,LT,AES-2,12/22/23,12/26/23,Natural,2.54,74,M
61,0340,DeltaSmelt,LT,AES-8,12/21/23,12/26/23,Natural,3.78,80,M
62,0346,DeltaSmelt,VT,AES-9,12/21/23,12/26/23,Natural,2.67,73,M
63,0371,DeltaSmelt,VT,AES-9,12/21/23,12/26/23,Natural,4.68,80,F
64,03F2,DeltaSmelt,VT,AES-3,12/22/23,12/26/23,Natural,2.06,68,M
65,0606,DeltaSmelt,LT,AES-2,12/22/23,12/26/23,Natural,3.6,73,F
66,0680,DeltaSmelt,LT,AES-2,12/22/23,12/26/23,Natural,2.2,69,M
67,06CB,DeltaSmelt,LT,AES-8,12/21/23,12/26/23,Natural,2.26,69,M
68,F202,DeltaSmelt,FC,AES-1,12/22/23,12/26/23,Natural,4.02,78,F
69,F109,DeltaSmelt,FC,AES-7,12/21/23,12/26/23,Natural,5.29,83,F
70,F110,DeltaSmelt,FC,AES-7,12/21/23,12/26/23,Natural,3.35,71,F
71,F111,DeltaSmelt,FC,AES-7,12/21/23,12/26/23,Natural,5.02,78,F
72,F112,DeltaSmelt,FC,AES-7,12/21/23,12/26/23,Natural,5.68,84,F
73,F113,DeltaSmelt,FC,AES-7,12/21/23,12/26/23,Natural,2.45,67,M
74,F114,DeltaSmelt,FC,AES-7,12/21/23,12/26/23,Natural,3.05,73,M
75,F115,DeltaSmelt,FC,AES-7,12/21/23,12/26/23,Natural,1.97,65,M
76,0010,DeltaSmelt,LT,AES-8,12/21/23,12/27/23,Natural,3.35,72,F
77,0013,DeltaSmelt,LT,AES-8,12/21/23,12/27/23,Natural,3.76,75,F
78,0032,DeltaSmelt,LT,AES-2,12/22/23,12/27/23,Natural,1.97,66,M
79,0069,DeltaSmelt,LT,AES-8,12/21/23,12/27/23,Natural,3.51,73,F
80,00F1,DeltaSmelt,LT,AES-2,12/22/23,12/27/23,Natural,2.88,73,M
81,01CB,DeltaSmelt,LT,AES-8,12/21/23,12/27/23,Natural,4.63,80,F
82,0330,DeltaSmelt,LT,AES-8,12/21/23,12/27/23,Natural,4.26,75,F
83,0612,DeltaSmelt,LT,AES-8,12/21/23,12/27/23,Natural,2.77,71,M
84,06EE,DeltaSmelt,LT,AES-8,12/21/23,12/27/23,Natural,3.53,72,F
85,1060,DeltaSmelt,LT,AES-8,12/21/23,12/27/23,Natural,4.54,81,M
86,F203,DeltaSmelt,FC,AES-1,12/22/23,12/27/23,Natural,3.69,74,F
87,F116,DeltaSmelt,FC,AES-7,12/21/23,12/27/23,Natural,3.39,70,F
88,SHED,DeltaSmelt,VT,AES-3,12/22/23,12/27/23,Shed,3.53,70,F
89,0158,DeltaSmelt,LT,AES-2,12/22/23,12/28/23,Natural,3.11,75,M
90,015C,DeltaSmelt,VT,AES-9,12/21/23,12/28/23,Natural,2.46,70,M
91,0203,DeltaSmelt,LT,AES-2,12/22/23,12/28/23,Natural,2.08,66,M
92,036F,DeltaSmelt,VT,AES-3,12/22/23,12/28/23,Natural,3.7,72,M
93,051E,DeltaSmelt,LT,AES-8,12/21/23,12/28/23,Natural,3.69,76,M
94,0677,DeltaSmelt,LT,AES-8,12/21/23,12/28/23,Natural,2.78,75,M
95,06FB,DeltaSmelt,VT,AES-3,12/22/23,12/28/23,Natural,2.89,73,M
