Rel_group,TagID_Hex,Time_in_ana,Time_out_anac,Weight,Length,Scales,Fins,Eyes,Time_out_surgery,Bleeding,Time_recovered,Surgeon,Data_Rec,HT_Temp,HT_DO,SB_Temp,SB_DO,Notes,DateTagged,Tag_placement,TankNumber,OrderID
LT,0010,9:48:18,9:49:44,,72,G,G,G,9:50:17,0,9:52:55,JH,AK,13,,11.7,,,12/21/23,,8,844
LT,0013,12:19:37,12:21:11,,78,G,G,G,12:21:47,0,12:22:57,JH,AK,13.3,,12.9,,,12/21/23,,8,902
VT,0018,11:36:01,11:37:35,,75,G,G,G,11:38:18,0,11:39:01,JH,AK,13.3,,12.9,,,12/21/23,,9,873
VT,001C,12:32:53,12:34:31,,72,G,G,G,12:35:13,0,12:38:14,JH,AK,13.3,,12.9,,,12/21/23,,9,912
LT,001D,11:52:52,11:54:33,,70,G,G,G,11:55:29,1,11:57:40,SG,RW,12.6,,12.5,,,12/22/23,,2,1077
VT,0022,13:15:50,13:17:19,,75,G,G,G,13:17:58,0,13:19:31,JH,AK,13.3,,12.9,,,12/21/23,,9,929
VT,0027,10:54:59,10:56:38,,72,G,G,G,10:57:28,0,10:59:32,SG,RW,12.6,,12.5,,MALE,12/22/23,,3,1052
VT,0028,11:31:46,11:33:19,,68,G,G,G,11:34:18,1,11:38:58,SG,RW,12.6,,12.5,,"3 FLOP, SMALL MALE",12/22/23,,3,1072
LT,002A,12:13:55,12:15:26,,74,G,G,G,12:16:00,0,12:21:01,JH,AK,13.3,,12.9,,,12/21/23,,8,901
VT,002C,10:28:47,10:30:18,,65,G,G,G,10:30:59,0,10:34:38,JH,AK,13,,11.7,,,12/21/23,,9,863
LT,0032,9:24:55,9:26:45,,68,G,G,G,9:27:38,0,9:29:20,SG,RW,12.3,,12.9,,,12/22/23,,2,1028
LT,0034,12:07:55,12:09:28,,80,G,G,G,12:10:09,0,12:12:14,JH,AK,13.3,,12.9,,,12/21/23,,8,897
LT,0037,12:41:41,12:43:23,,70,G,G,G,12:44:01,0,12:49:17,JH,AK,13.3,,12.9,,"Labeled as 0370, but was duplicate. Corrected to 0037",12/21/23,,8,919
VT,003A,10:32:44,10:34:13,,74,G,G,G,10:34:57,0,10:39:21,JH,AK,13,,11.7,,,12/21/23,,9,865
VT,003E,10:38:23,10:39:49,,77,G,G,G,10:40:40,0,10:43:35,JH,AK,13,,11.7,,,12/21/23,,9,869
LT,0051,9:34:24,9:35:54,,80,G,G,G,9:36:50,0,9:40:33,JH,AK,13,,11.7,,,12/21/23,,8,835
LT,0052,11:52:05,11:53:38,,69,G,G,G,11:54:24,0,11:56:45,JH,AK,13.3,,12.9,,,12/21/23,,8,884
VT,0055,13:25:43,13:27:03,,84,G,G,G,13:27:33,0,13:29:42,JH,AK,13.3,,12.9,,,12/21/23,,9,936
VT,0056,9:01:58,9:03:40,,77,G,G,G,9:04:30,0,9:10:07,JH,AK,12.3,,12.9,,Milt,12/22/23,,3,949
LT,0068,10:34:33,10:36:19,,70,G,G,G,10:37:01,0,10:38:48,JH,AK,12.6,,12.5,,,12/22/23,,2,975
LT,0069,11:48:35,11:50:06,,77,G,G,G,11:50:40,0,11:52:49,JH,AK,13.3,,12.9,,,12/21/23,,8,882
LT,006F,11:12:05,11:13:53,,78,G,G,G,11:14:44,0,11:18:19,SG,RW,12.6,,12.5,,"1 FLOP, MALE",12/22/23,,2,1059
LT,0075,10:43:39,10:45:14,,81,G,G,G,10:46:20,0,10:49:17,JH,AK,12.6,,12.5,,Flopped 2x,12/22/23,,2,980
LT,0076,11:16:59,11:18:31,,70,G,G,G,11:19:11,0,11:25:59,JH,AK,12.6,,12.5,,m,12/22/23,,2,996
VT,0085,13:24:22,13:25:59,,74,G,G,G,13:26:37,0,13:29:41,JH,AK,13.3,,12.9,,Split,12/21/23,,9,935
LT,0088,9:19:10,9:20:41,,74,G,G,G,9:21:42,0,9:27:47,JH,AK,13,,11.7,,,12/21/23,,8,830
VT,008B,10:56:31,10:58:05,,80,G,G,G,10:58:45,0,11:02:09,SG,RW,12.6,,12.5,,LIKELY GRAVID,12/22/23,,3,1053
LT,009A,9:27:35,9:29:16,,73,G,G,G,9:30:17,0,9:34:08,SG,RW,12.3,,12.9,,"LONG INCISION, MILT OUT OF INCISION",12/22/23,,2,1030
