Rel_group,TagID_Hex,Time_in_ana,Time_out_anac,Weight,Length,Scales,Fins,Eyes,Time_out_surgery,Bleeding,Time_recovered,Surgeon,Data_Rec,HT_Temp,HT_DO,SB_Temp,SB_DO,Notes,DateTagged,Tag_placement,Tank Number,OrderID
LT,06FC,10:15:49,10:17:27,3.49,72,G,G,G,10:19:00,0,10:20:37,JH,AK,12,,12,,,12/11/23,TA,8,557
LT,016F,10:19:30,10:21:00,2.19,70,G,G,G,10:22:18,0,10:24:58,JH,AK,12,,12,,,12/11/23,TA,8,558
LT,18,10:27:46,10:29:44,2.44,71,G,G,G,10:31:19,0,10:33:06,JH,AK,12,,12,,,12/11/23,TA,8,559
LT,073D,10:30:21,10:32:00,2.95,73,G,G,G,10:33:14,0,10:34:56,JH,AK,12,,12,,Floppy fish,12/11/23,TA,8,560
VT,003A,10:37:05,10:38:46,3.07,74,G,G,G,10:40:42,0,10:41:09,JH,AK,12,,12,,Floppy,12/11/23,TA,9,561
VT,191,10:41:53,10:43:23,2.63,70,G,G,G,10:44:27,0,10:46:31,JH,AK,12,,12,,"floppy, white stuff came out",12/11/23,TA,9,562
VT,677,10:47:52,10:49:35,3.78,79,G,G,G,10:50:44,0,10:52:06,JH,AK,12,,12,,,12/11/23,TA,9,563
LT,223,11:04:04,11:05:37,4.29,80,G,G,G,11:06:46,0,11:09:31,JH,AK,12,,12,,Big Floppy,12/11/23,TA,8,564
LT,55,11:06:05,11:07:55,2.69,75,G,G,G,11:09:05,1,11:10:40,JH,AK,12,,12,,,12/11/23,TA,8,565
LT,012E,11:09:59,11:11:41,2.56,70,G,G,G,11:12:40,0,11:16:55,JH,AK,12,,12,,,12/11/23,TA,8,566
LT,038C,11:23:31,11:25:10,2.66,74,G,G,G,11:26:18,0,11:26:58,JH,AK,12,,12,,2 flops,12/11/23,TA,8,567
LT,560,11:25:33,11:27:07,4.48,85,G,G,G,11:28:12,0,11:30:15,JH,AK,12,,12,,,12/11/23,TA,8,568
VT,035D,11:33:48,11:35:23,2.95,78,G,G,G,11:36:27,0,11:39:09,JH,AK,12,,12,,Flop,12/11/23,TA,9,569
VT,533,11:36:06,11:37:52,2.33,70,G,G,G,11:38:52,0,11:41:40,JH,AK,12,,12,,,12/11/23,TA,9,570
VT,027A,11:38:00,11:39:51,4.59,80,G,G,G,11:40:42,0,11:44:10,JH,AK,12,,12,,"3 Flop, split",12/11/23,TA,9,571
