Rel_group,TagID_Hex,Time_in_ana,Time_out_anac,Length,Scales,Fins,Eyes,Time_out_surgery,Bleeding,Time_recovered,Surgeon,Data_Rec,HT_Temp,SB_Temp,Notes,DateTagged,Tag_placement
CT,001D,10:53:12 AM,10:54:42 AM,80,G,G,G,10:55:07 AM,,10:58:16 AM,EC,RW,12.3,11.7,5 FLOPS,2/23/24,Lateral
HT,0022,3:38:57 PM,3:40:43 PM,70,G,G,G,3:41:01 PM,,3:43:00 PM,EC,RW,12.4,11.4,,2/23/24,Lateral
TT,002A,2:54:28 PM,2:56:20 PM,82,G,G,G,2:56:48 PM,,2:57:10 PM,EC,RW,12.4,11.4,,2/23/24,Lateral
HT,0034,3:24:04 PM,3:25:37 PM,76,0,0,0,3:26:11 PM,,3:30:37 PM,JH,AK,12.4,11.4,,2/23/24,Lateral
HT,003E,11:33:33 AM,11:35:13 AM,77,G,G,G,11:35:43 AM,,11:37:53 AM,EC,RW,12.3,11.7,,2/23/24,Lateral
CT,0051,10:59:18 AM,11:00:33 AM,75,G,G,G,11:00:56 AM,,11:01:54 AM,EC,RW,12.3,11.7,3 FLOPS,2/23/24,Lateral
HT,0052,3:26:36 PM,3:28:09 PM,80,0,0,0,3:29:00 PM,,3:31:01 PM,JH,AK,12.4,11.4,,2/23/24,Lateral
CT,0055,10:42:08 AM,10:43:58 AM,78,0,0,0,10:44:31 AM,1,10:47:08 AM,JH,AK,12.3,11.7,milt,2/23/24,Lateral
CT,0056,10:47:29 AM,10:49:19 AM,67,G,G,G,10:50:06 AM,,10:55:23 AM,EC,RW,12.3,11.7,BRUISING LIGHTLY,2/23/24,Lateral
CT,006F,10:51:49 AM,10:53:35 AM,69,0,0,0,10:54:21 AM,,11:00:39 AM,JH,AK,12.3,11.7,,2/23/24,Lateral
HT,0075,11:31:27 AM,11:33:20 AM,78,G,G,G,11:33:54 AM,,11:35:24 AM,EC,RW,12.3,11.7,MILT,2/23/24,Lateral
TT,0085,11:08:28 AM,11:10:06 AM,69,G,G,G,11:10:53 AM,,11:14:16 AM,EC,RW,12.3,11.7,"5 FLOPS, FAIR INCISION",2/23/24,Lateral
CT,0088,2:32:15 PM,2:33:53 PM,78,0,0,0,2:34:28 PM,,2:38:16 PM,JH,AK,12.4,11.4,,2/23/24,Lateral
TT,008B,10:27:20 AM,10:28:57 AM,75,0,0,0,10:29:21 AM,,10:34:17 AM,JH,AK,12.3,11.7,,2/23/24,Lateral
TT,009A,3:02:54 PM,3:04:37 PM,77,0,0,0,3:05:25 PM,,3:11:23 PM,JH,AK,12.4,11.4,floppy,2/23/24,Lateral
TT,00A0,2:53:19 PM,2:54:55 PM,76,G,G,G,2:55:37 PM,,2:56:57 PM,EC,RW,12.4,11.4,MIGHT BRUISE,2/23/24,Lateral
CT,00A8,2:26:55 PM,2:28:39 PM,68,0,0,0,2:29:27 PM,,2:34:48 PM,JH,AK,12.4,11.4,,2/23/24,Lateral
CT,00AB,2:23:06 PM,2:24:56 PM,85,0,0,0,2:25:37 PM,,2:28:43 PM,JH,AK,12.4,11.4,GRAVID,2/23/24,Lateral
TT,00B7,10:25:30 AM,10:27:06 AM,74,0,0,0,10:27:45 AM,,10:29:27 AM,JH,AK,12.3,11.7,,2/23/24,Lateral
CT,00BB,10:56:10 AM,10:57:50 AM,79,0,0,0,10:58:27 AM,,11:00:43 AM,JH,AK,12.3,11.7,,2/23/24,Lateral
HT,00BE,3:27:59 PM,3:29:45 PM,70,G,G,G,3:30:19 PM,,3:33:09 PM,EC,RW,12.4,11.4,,2/23/24,Lateral
CT,00C2,2:23:07 PM,2:25:27 PM,79,G,G,G,2:26:12 PM,,2:28:55 PM,EC,RW,12.4,11.4,,2/23/24,Lateral
CT,00CB,2:33:55 PM,2:35:24 PM,74,0,0,0,2:36:04 PM,,2:38:18 PM,JH,AK,12.4,11.4,"Gravid, eggs from incision",2/23/24,Lateral
TT,00DC,11:16:29 AM,11:18:23 AM,78,0,0,0,11:19:03 AM,,11:21:11 AM,JH,AK,12.3,11.7,,2/23/24,Lateral
HT,00EE,10:04:50 AM,10:05:45 AM,79,0,0,0,10:06:27 AM,,10:10:48 AM,JH,AK,12.3,11.7,,2/23/24,Lateral
CT,00F1,10:49:02 AM,10:50:40 AM,80,0,0,0,10:51:17 AM,,10:55:03 AM,JH,AK,12.3,11.7,,2/23/24,Lateral
TT,00F3,11:11:14 AM,11:12:42 AM,81,0,0,0,11:13:32 AM,,11:17:23 AM,JH,AK,12.3,11.7,,2/23/24,Lateral
HT,0110,3:29:10 PM,3:31:02 PM,70,G,G,G,3:31:51 PM,,3:34:25 PM,EC,RW,12.4,11.4,,2/23/24,Lateral
CT,0111,2:24:20 PM,2:26:42 PM,85,0,0,0,2:27:12 PM,,2:28:44 PM,JH,AK,12.4,11.4,,2/23/24,Lateral
CT,011E,10:44:40 AM,10:46:06 AM,73,G,G,G,10:46:51 AM,,10:48:20 AM,EC,RW,12.3,11.7,"MILT, FAIR INCISION",2/23/24,Lateral
CT,012D,10:47:29 AM,10:48:54 AM,83,0,0,0,10:49:52 AM,,10:55:01 AM,JH,AK,12.3,11.7,"Operculum a bit messed up, jumped into lap",2/23/24,Lateral
TT,012E,10:19:45 AM,10:21:45 AM,75,G,G,G,10:22:25 AM,,10:25:49 AM,EC,RW,12.3,11.7,LITTLE MILT,2/23/24,Lateral
CT,0131,2:36:26 PM,2:38:16 PM,71,G,G,G,2:38:48 PM,,2:41:22 PM,EC,RW,12.4,11.4,MILT,2/23/24,Lateral
TT,013D,2:52:04 PM,2:53:37 PM,68,0,0,0,2:54:06 PM,,2:58:09 PM,JH,AK,12.4,11.4,,2/23/24,Lateral
